janvier;fevrier;mars;avril;mai;juin;juillet;aout;septembre;octobre;novembre;décembre
-5;-7;-7;2;12;17;20;20;16;6;0;-6
-6;-6;-8;3;14;16;20;19;14;2;1;-4
-5;-5;-5;4;15;17;17;19;15;3;2;-8
-3;-6;-3;6;16;14;18;18;13;4;3;-9
-6;-8;-2;4;13;15;17;17;12;3;4;-9
-11;-9;1;5;12;17;17;18;10;2;3;-9
-6;5;2;4;8;17;16;16;12;4;4;-8
-8;-11;1;6;7;15;17;17;11;5;5;-4
-11;-12;1;7;6;14;17;15;11;3;5;-3
-8;-9;2;7;5;15;15;14;12;4;-1;-8
-8;-6;1;8;5;14;15;14;10;2;-2;-9
-8;-5;3;8;6;13;16;15;10;1;-1;-5
-8;-4;5;9;8;11;16;15;9;3;-7;-6
-10;1;5;10;10;14;13;15;9;3;-8;-7
-10;3;7;8;12;15;14;17;10;3;-5;-11
-9;-9;3;8;13;15;14;18;11;1;-3;-6
-6;-6;2;9;14;15;15;19;10;4;-2;-8
-6;-6;-1;11;13;17;15;21;10;6;1;-11
-4;-4;-2;10;15;16;15;24;9;6;2;-8
-8;2;-1;11;15;19;17;21;11;6;1;-8
-9;3;0;12;15;20;18;21;12;7;0;-3
-14;1;1;9;18;19;19;26;12;7;0;-6
-15;-3;2;7;18;20;21;17;10;6;1;-8
-17;-4;3;8;16;22;24;18;11;6;3;-9
-19;-6;4;8;15;22;23;17;10;6;5;-5
-23;-8;3;6;16;21;26;17;9;4;-2;-6
-8;-8;4;9;16;22;26;16;6;3;-3;-7
-9;-11;5;11;17;21;21;17;7;3;-6;-8
-5;;5;14;16;21;22;17;7;4;-6;-6
-6;;3;16;17;17;23;18;6;2;-4;-7
-7;;3;;17;;21;17;;1;;-5
